Cantidad de Elementos,Comparaciones Promedio
10,4
10,4
10,2
10,2
10,2
10,4
10,2
10,3
10,3
10,3
10,3
10,1
10,2
10,2
10,3
10,3
10,4
10,3
10,3
10,2
10,4
10,4
10,4
10,4
10,2
10,4
10,1
10,3
10,3
10,4
10,4
10,3
10,1
10,3
10,1
10,4
10,4
10,4
10,1
10,3
10,1
10,2
10,1
10,3
10,3
10,4
10,3
10,3
10,1
10,3
10,2
10,3
10,2
10,2
10,4
10,3
10,1
10,3
10,3
10,2
10,4
10,3
10,2
10,3
10,4
10,4
10,3
10,3
10,1
10,4
10,1
10,3
10,1
10,4
10,3
10,3
10,2
10,4
10,4
10,3
100,6
100,6
100,7
100,7
100,8
100,5
100,4
100,6
100,7
100,7
100,5
100,7
100,7
100,7
100,8
100,6
100,7
100,7
100,5
100,5
100,6
100,7
100,3
100,7
100,6
100,7
100,7
100,7
100,7
100,4
100,8
100,6
100,8
100,5
100,6
100,7
100,7
100,8
100,6
100,7
100,8
100,6
100,8
100,2
100,7
100,6
100,2
100,7
100,5
100,6
100,7
100,6
100,6
100,3
100,5
100,3
100,7
100,5
100,8
100,7
100,6
100,6
100,7
100,5
100,2
100,7
100,8
100,4
100,6
100,7
100,5
100,3
100,5
100,8
100,8
100,6
100,3
100,7
100,6
100,7
200,7
200,7
200,8
200,6
200,7
200,8
200,6
200,3
200,5
200,6
200,4
200,9
200,5
200,8
200,7
200,9
200,8
200,8
200,8
200,8
200,7
200,7
200,7
200,6
200,8
200,8
200,8
200,7
200,5
200,7
200,8
200,6
200,8
200,7
200,6
200,2
200,5
200,8
200,3
200,7
200,8
200,9
200,3
200,8
200,8
200,3
200,7
200,5
200,8
200,5
200,8
200,7
200,7
200,8
200,6
200,5
200,8
200,7
200,6
200,4
200,9
200,7
200,5
200,6
200,6
200,8
200,7
200,7
200,8
200,7
200,7
200,7
200,6
200,7
200,7
200,8
200,8
200,8
200,8
200,6
300,8
300,6
300,2
300,6
300,6
300,8
300,7
300,9
300,8
300,8
300,8
300,8
300,3
300,8
300,6
300,8
300,7
300,7
300,10
300,6
300,8
300,9
300,5
300,9
300,5
300,9
300,7
300,8
300,8
300,10
300,8
300,8
300,7
300,7
300,8
300,6
300,5
300,7
300,8
300,8
300,8
300,8
300,8
300,6
300,8
300,8
300,10
300,8
300,5
300,9
300,6
300,10
300,5
300,6
300,6
300,8
300,10
300,8
300,8
300,9
300,9
300,8
300,8
300,7
300,9
300,3
300,2
300,8
300,6
300,6
300,7
300,8
300,6
300,8
300,8
300,10
300,8
300,2
300,7
300,3
400,9
400,8
400,9
400,8
400,8
400,9
400,6
400,8
400,6
400,9
400,9
400,9
400,8
400,8
400,9
400,8
400,8
400,8
400,8
400,8
400,9
400,8
400,6
400,6
400,8
400,10
400,7
400,6
400,8
400,3
400,8
400,9
400,8
400,6
400,7
400,9
400,8
400,9
400,9
400,10
400,5
400,8
400,7
400,9
400,3
400,8
400,7
400,8
400,8
400,9
400,6
400,5
400,6
400,2
400,8
400,7
400,9
400,8
400,8
400,9
400,8
400,7
400,10
400,9
400,9
400,9
400,8
400,8
400,5
400,9
400,9
400,9
400,8
400,8
400,10
400,8
400,3
400,6
400,6
400,9
500,8
500,8
500,8
500,6
500,8
500,10
500,9
500,8
500,7
500,9
500,10
500,9
500,9
500,8
500,9
500,9
500,8
500,9
500,8
500,9
500,9
500,10
500,6
500,9
500,8
500,10
500,9
500,9
500,8
500,7
500,7
500,9
500,10
500,8
500,10
500,5
500,8
500,8
500,9
500,9
500,8
500,9
500,9
500,7
500,9
500,8
500,10
500,9
500,6
500,8
500,9
500,9
500,10
500,9
500,9
500,9
500,8
500,10
500,9
500,11
500,8
500,8
500,10
500,8
500,4
500,8
500,10
500,9
500,7
500,8
500,8
500,9
500,7
500,8
500,10
500,9
500,6
500,9
500,7
500,8
600,10
600,8
600,6
600,9
600,8
600,10
600,5
600,9
600,10
600,8
600,8
600,10
600,9
600,9
600,9
600,10
600,9
600,10
600,9
600,5
600,7
600,9
600,10
600,9
600,9
600,9
600,11
600,7
600,10
600,8
600,4
600,9
600,7
600,7
600,10
600,10
600,10
600,6
600,11
600,9
600,7
600,8
600,10
600,5
600,4
600,10
600,10
600,7
600,8
600,8
600,11
600,8
600,10
600,10
600,10
600,10
600,9
600,6
600,9
600,10
600,9
600,8
600,9
600,8
600,8
600,8
600,9
600,6
600,8
600,8
600,10
600,10
600,6
600,9
600,6
600,9
600,5
600,5
600,10
600,6
700,10
700,9
700,8
700,10
700,9
700,8
700,6
700,6
700,7
700,8
700,8
700,10
700,11
700,9
700,6
700,11
700,10
700,11
700,5
700,6
700,9
700,10
700,11
700,9
700,9
700,6
700,8
700,6
700,9
700,9
700,7
700,10
700,9
700,6
700,8
700,8
